# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
17 8.25 0.1378 6.23598 0.776506 30.4479 0.00503497 30.0128 1.70023e-06 8 0 8 1.24621 11.101 1.18773 11.7074 1.26525 9.26109 1.00619 30.357 1.03772 30.7693
18 8.75 4.07208 14.0777 1.24727 37.6571 0.271994 31.5853 0.00658624 8.01269 0.000157729 8.0003 0.697235 12.4446 0.23178 12.154 1.52363 12.1973 1.1562 37.0414 1.18927 37.6449
19 9.25 1.81175 17.9766 0.835378 43.0529 2.38635 47.0031 0.441043 8.96252 0.0699397 8.15093 0.628259 13.7976 0.575046 13.3924 1.41052 15.235 0.990932 43.4436 0.86453 43.2304
20 9.75 0.00979027 18 1.06439 50.6913 1.69959 59.2026 1.95628 13.6433 1.50537 11.7528 0.913547 15.9834 1.13646 16.1116 1.12764 17.9331 0.640982 48.0445 0.62613 47.7247
3000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.223922 0.0856623 4.50863e-05 1.72498e-05
6 2.75 0 0 0 0 1.48019 0.844745 0 0 0 0 0 0 0 0 0 0 1.10178 0.71445 0.277088 0.158152
7 3.25 0 0 0 0 6.10546 5.70758 0 0 0 0 0.481183 0.12775 0.0255278 0.00677721 0 0 0.98354 1.49782 1.49629 1.34991
8 3.75 0 0 0.0119901 0.0127051 0.271667 5.9955 5.77872e-05 2.04082e-05 0 0 2.64204 1.06116 1.51835 0.543198 0 0 1.76409 3.36753 1.68792 3.13888
9 4.25 0 0 3.19924 4.36553 0.00331003 6 0.119492 0.0542274 0.0148753 0.00674781 1.75279 1.85628 3.37075 2.07228 0.00529864 0.00240379 1.45003 5.34087 1.55357 5.25314
10 4.75 0 0 2.11327 7.95623 0 6 2.86201 1.67562 1.84618 1.05265 1.75414 2.85004 2.3975 3.43051 0.203839 0.117885 0.934057 6.92835 1.38999 7.6155
11 5.25 0 0 0.0840585 8.13067 0 6 3.39715 4.02626 4.45672 4.13646 1.36281 3.79303 0.730535 3.936 0.810714 0.678853 1.00109 9.00645 1.12413 9.94901
12 5.75 0.495882 0.411232 0.389736 9.10078 0.000482473 6.0012 2.44108 6.05216 3.37012 6.93338 0.243608 3.9952 0.0757229 3.99884 1.41344 1.8519 0.949957 11.3716 0.704293 11.7025
13 6.25 4.53571 4.855 1.04502 12.1738 0.173182 6.51057 1.82408 7.84054 1.06956 7.982 0.038252 4.0327 0.002672 4.00146 1.56017 3.38153 1.03426 14.4137 0.586619 13.4279
14 6.75 0.971957 5.96558 0.544511 14.0413 2.85359 16.2997 0.139205 7.99971 0.0157418 8 0.681238 4.8117 0.231403 4.26607 1.25381 4.81525 0.929582 17.6026 1.01056 16.8947
15 7.25 0.0261216 6 1.02816 18.109 3.05524 28.3902 0.000216557 8 0 8 1.63192 6.96435 1.63699 6.42541 0.742671 5.7949 0.828969 20.883 1.03522 20.9913
16 7.75 0 6 1.80705 26.278 0.349038 29.9684 0 8 0 8 1.30135 8.92579 2.12809 9.63294 0.84501 7.06853 0.937565 25.1224 0.97045 25.3794
17 8.25 0.159338 6.27192 0.806078 30.4071 0.00880584 30.0135 0 8 0 8 1.24289 11.0485 1.19507 11.674 1.26334 9.22621 1.00839 30.2891 1.03913 30.7036
18 8.75 3.89479 13.749 1.21985 37.4359 0.279617 31.625 0.0089646 8.01722 0.000268708 8.00052 0.724637 12.4407 0.252824 12.1597 1.51934 12.1451 1.14609 36.8946 1.18276 37.5204
19 9.25 1.9527 17.9382 0.87799 43.0894 2.3151 46.5362 0.460706 9.00631 0.076229 8.16417 0.62761 13.7881 0.565543 13.3739 1.40425 15.1599 0.998326 43.3245 0.867311 43.1066
20 9.75 0.0259404 18 1.04473 50.5634 1.73409 58.9447 1.90964 13.5613 1.4742 11.6805 0.903481 15.9431 1.12439 16.0558 1.12127 17.8344 0.647427 47.9573 0.631174 47.623
4000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.227977 0.08694 0.000102579 3.91156e-05
6 2.75 0 0 0 0 1.55899 0.886929 0 0 0 0 0 0 0 0 0 0 1.09059 0.7074 0.272814 0.155249
7 3.25 0 0 0 0 5.97594 5.63175 0 0 0 0 0.486455 0.128743 0.023015 0.00609135 0 0 0.985457 1.48984 1.48613 1.33522
8 3.75 0 0 0.0128082 0.0135301 0.33732 5.98814 0 0 0 0 2.62169 1.05208 1.50776 0.537108 6.41554e-05 2.25948e-05 1.76099 3.35044 1.68998 3.12078
9 4.25 0 0 3.13554 4.26636 0.00867878 5.99991 0.114116 0.0516064 0.0149168 0.0067449 1.76936 1.85221 3.36737 2.05989 0.00653701 0.00297813 1.44934 5.31668 1.55683 5.23284
