# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13] c_myRDF[14] c_myRDF[15] c_myRDF[16] c_myRDF[17] c_myRDF[18] c_myRDF[19] c_myRDF[20] c_myRDF[21]
1000 20
17 8.25 0.146908 6.25103 0.805837 30.4176 0.00553959 30.0154 0 8 0 8 1.24055 11.0714 1.19487 11.6878 1.2711 9.23022 1.00723 30.3037 1.03546 30.7083
18 8.75 3.99825 13.9367 1.23846 37.5629 0.290151 31.6897 0.00598856 8.01152 9.24673e-05 8.00018 0.706104 12.4297 0.240838 12.151 1.53796 12.1887 1.15156 36.9492 1.18587 37.5518
19 9.25 1.87103 17.9558 0.854106 43.0696 2.31504 46.6199 0.431628 8.9394 0.0647717 8.13942 0.626563 13.7766 0.56365 13.3627 1.40516 15.2093 0.996966 43.3787 0.868816 43.1549
20 9.75 0.0185314 18 1.03208 50.4627 1.74272 59.1062 1.93048 13.55 1.46574 11.6401 0.914567 15.9609 1.1361 16.0761 1.11991 17.884 0.645906 48.0065 0.631952 47.6827
3000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.224039 0.0854876 6.87877e-05 2.62391e-05
6 2.75 0 0 0 0 1.4033 0.798844 0 0 0 0 0 0 0 0 0 0 1.0849 0.703079 0.276319 0.157319
7 3.25 0 0 0 0 6.17895 5.70775 0 0 0 0 0.472554 0.12514 0.026202 0.00693878 0 0 1.00017 1.49767 1.50424 1.35238
8 3.75 0 0 0.00989006 0.0104529 0.273781 5.99717 0 0 0 0 2.63383 1.0533 1.54276 0.550598 0 0 1.7404 3.33761 1.69502 3.14433
9 4.25 0 0 3.13991 4.27175 0.00208265 6 0.120824 0.0546698 0.0150984 0.00683163 1.78011 1.85877 3.36144 2.0716 0.00513313 0.00232289 1.46465 5.3258 1.54632 5.2434
10 4.75 0 0 2.16882 7.94753 0 6 2.73361 1.59942 1.81977 1.03516 1.74384 2.84419 2.33165 3.3892 0.166762 0.0965598 0.96376 6.9596 1.37732 7.57832
11 5.25 3.58657e-05 2.47813e-05 0.107041 8.16909 0 6 3.56238 4.05813 4.527 4.15968 1.3615 3.78389 0.776712 3.92528 0.807286 0.653747 0.987943 9.00524 1.11793 9.89311
12 5.75 0.465573 0.385144 0.381689 9.11676 0.000483304 6.0012 2.40622 6.05004 3.26264 6.86059 0.25343 3.99369 0.0882824 3.99835 1.44007 1.84587 0.937668 11.3339 0.712062 11.6615
13 6.25 4.52641 4.80857 1.00256 12.0575 0.206414 6.60675 1.80614 7.81638 1.13625 7.97176 0.0365281 4.02941 0.0032853 4.00156 1.53672 3.3487 1.01905 14.3237 0.593945 13.404
14 6.75 1.0288 5.98114 0.602266 14.1178 2.73284 15.9581 0.160608 7.99956 0.0247648 8 0.64603 4.76628 0.230507 4.26447 1.28385 4.81306 0.937398 17.5313 1.01606 16.8808
15 7.25 0.0143498 6 1.03686 18.2095 3.12162 28.28 0.000337961 8 0 8 1.65503 6.9439 1.63824 6.42001 0.745834 5.79441 0.847397 20.8761 1.03305 20.9585
16 7.75 2.33251e-05 6.00003 1.70051 25.8775 0.376284 29.977 0 8 0 8 1.3278 8.94011 2.10142 9.57933 0.819796 7.0269 0.93395 25.0885 0.966085 25.3158
17 8.25 0.164613 6.28025 0.87691 30.358 0.00911747 30.0236 6.83615e-06 8.00001 0 8 1.21203 11.0049 1.19536 11.6157 1.26619 9.18398 1.0041 30.2203 1.03672 30.6142
18 8.75 3.84752 13.6479 1.2149 37.3407 0.32427 31.8877 0.0078101 8.01498 0.000198928 8.00038 0.730448 12.4047 0.282731 12.1575 1.53581 12.127 1.13791 36.762 1.16882 37.3337
19 9.25 1.98281 17.8909 0.905621 43.1573 2.17887 45.886 0.412078 8.89745 0.0701647 8.15063 0.627561 13.7486 0.558506 13.3535 1.41175 15.1503 1.00521 43.2199 0.881697 42.9981
20 9.75 0.0458423 17.9999 0.977969 50.1361 1.80545 58.7725 1.88753 13.3883 1.43425 11.563 0.910812 15.9156 1.11345 16.0027 1.10277 17.774 0.65808 47.917 0.643671 47.5923
4000 20
1 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 2.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.229459 0.0872796 9.45741e-05 3.59572e-05
6 2.75 0 0 0 0 1.40549 0.79755 0 0 0 0 0 0 0 0 0 0 1.08507 0.703005 0.280958 0.159467
7 3.25 0 0 0 0 6.12451 5.64781 0 0 0 0 0.469235 0.123868 0.0274772 0.00725316 0 0 0.991916 1.48855 1.49212 1.34114
8 3.75 0 0 0.0100128 0.0105491 0.329886 5.99543 0 0 0 0 2.64954 1.0546 1.56102 0.555612 7.90033e-05 2.76968e-05 1.72614 3.30763 1.70366 3.13652
9 4.25 0 0 3.06049 4.15092 0.00337671 6 0.0989809 0.0446509 0.0148065 0.00668003 1.77189 1.85382 3.34676 2.06518 0.00448336 0.00204956 1.47682 5.30599 1.55109 5.23539
10 4.75 0 0 2.23394 7.92505 0 6 2.64429 1.53419 1.76841 1.00283 1.72778 2.82706 2.28468 3.35214 0.164744 0.0948528 0.989017 6.97732 1.36702 7.5455
11 5.25 0 0 0.134032 8.20161 0 6 3.72109 4.09431 4.60965 4.17431 1.36398 3.76551 0.811066 3.91015 0.77495 0.628038 0.970659 8.9808 1.11091 9.83846
12 5.75 0.516841 0.426157 0.386949 9.15932 0.000934603 6.00231 2.34736 6.03136 3.14902 6.77291 0.273899 3.99152 0.10644 3.99798 1.44012 1.81643 0.927659 11.2773 0.72086 11.623
13 6.25 4.35548 4.6691 0.945352 11.9234 0.251229 6.73702 1.78736 7.77377 1.21572 7.95801 0.0391656 4.0297 0.00466314 4.00253 1.58597 3.36251 1.01402 14.2429 0.598679 13.3739
14 6.75 1.14061 5.96497 0.656371 14.1617 2.66079 15.8129 0.198061 7.99895 0.036934 8 0.618881 4.73336 0.231209 4.26541 1.26424 4.79992 0.940975 17.4525 1.01344 16.8307
15 7.25 0.026636 5.99987 1.03719 18.2418 3.06487 27.8725 0.000803686 8 0 8 1.66599 6.91845 1.62371 6.39505 0.732898 5.76118 0.864371 20.8536 1.03685 20.9104
16 7.75 0.000174213 6.00013 1.60723 25.4662 0.46382 29.9577 0 8 0 8 1.35423 8.94797 2.08902 9.5258 0.826524 6.99985 0.93886 25.0747 0.963997 25.2445
17 8.25 0.186727 6.317 0.95023 30.306 0.0164301 30.0414 0 8 0 8 1.16689 10.9296 1.18626 11.5403 1.25366 9.12884 0.99226 30.1298 1.04194 30.5528
18 8.75 3.73587 13.4482 1.20259 37.196 0.369922 32.1612 0.0102988 8.01967 0.000242017 8.00046 0.750029 12.3623 0.326679 12.1643 1.56541 12.1191 1.12689 36.5877 1.15115 37.1497
